type,level,skill,topics,japanese,reading,meaning,part_of_speech,verb_type,transitivity,paired_with,example,example_reading,example_meaning,source,source_ref,tags,notes
expression,N4,vocabulary,,～家,～か,person who is specialized in ~,suffix,,,,彼は音楽家です。,かれはおんがくかです。,He is a musician.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,迎える,むかえる,to welcome; to meet; to greet,verb,ichidan,transitive,,駅で友達を迎えます。,えきでともだちをむかえます。,I meet my friend at the station.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,触る,さわる,"to touch, to feel",verb,godan,intransitive,,これに触らないでください。,これにさわらないでください。,Please don't touch this.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,建て,～だて,"~ storied, separate housing",suffix,,,,二階建ての家です。,にかいだてのいえです。,It's a two-story house.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,社長,しゃちょう,president of a company,noun,,,,社長に会いました。,しゃちょうにあいました。,I met the company president.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,動物園,どうぶつえん,zoo,noun,,,,動物園へ行きます。,どうぶつえんへいきます。,I go to the zoo.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,捕まえる,つかまえる,"to catch, to arrest",verb,ichidan,transitive,,泥棒を捕まえました。,どろぼうをつかまえました。,They caught the thief.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,季節,きせつ,season (in reference to weather),noun,,,,好きな季節は春です。,すきなきせつははるです。,My favorite season is spring.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,寄る,よる,to stop by,verb,godan,intransitive,,帰りに店に寄ります。,かえりにみせによります。,I stop by the store on my way home.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,決まる,きまる,to be set; fixed (v.i.),verb,godan,intransitive,決める,予定が決まりました。,よていがきまりました。,The schedule has been decided.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,開く,ひらく,to open; to hold (an event),verb,godan,transitive,,パーティーを開きます。,パーティーをひらきます。,I will hold a party.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,逃げる,にげる,"to escape, to run away",verb,ichidan,intransitive,,犬が逃げました。,いぬがにげました。,The dog ran away.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,だから,だから,so; therefore,conjunction,,,,だから、行きません。,だから、いきません。,"So, I won't go.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,残念,ざんねん,regret; regrettable,na-adjective,,,,それは残念ですね。,それはざんねんですね。,That's a shame.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,畳,たたみ,tatami mat (Japanese straw mat),noun,,,,畳の部屋で寝ます。,たたみのへやでねます。,I sleep in a tatami room.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,丁寧,ていねい,"polite, courteous, careful",na-adjective,,,,彼は丁寧に話します。,かれはていねいにはなします。,He speaks politely.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,地理,ちり,geography,noun,,,,地理を勉強します。,ちりをべんきょうします。,I study geography.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,さっき,さっき,a little while ago,adverb,,,,さっき、電話がありました。,さっき、でんわがありました。,There was a phone call a little while ago.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,怖い,こわい,"scary, frightening",i-adjective,,,,この映画は怖いです。,このえいがはこわいです。,This movie is scary.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,包む,つつむ,"to wrap, to cover",verb,godan,transitive,,プレゼントを包みます。,プレゼントをつつみます。,I wrap the present.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,なるべく,なるべく,"if possible, as much as possible",adverb,,,,なるべく早く来てください。,なるべくはやくきてください。,Please come as soon as possible.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,無理,むり,"unreasonable, impossible",na-adjective,,,,それは無理です。,それはむりです。,That's impossible.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,サンドイッチ,サンドイッチ,sandwich,noun,,,,サンドイッチを食べます。,サンドイッチをたべます。,I eat a sandwich.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,会議室,かいぎしつ,conference room,noun,,,,会議室で待っています。,かいぎしつでまっています。,I am waiting in the conference room.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,品物,しなもの,goods,noun,,,,品物を確認します。,しなものをかくにんします。,I check the goods.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,人形,にんぎょう,"doll, figure",noun,,,,人形で遊びます。,にんぎょうであそびます。,I play with a doll.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,利用,りよう,"use, utilization",noun,,,,バスを利用します。,バスをりようします。,I use the bus.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,飾る,かざる,"to decorate, to adorn",verb,godan,transitive,,部屋を花で飾ります。,へやをはなでかざります。,I decorate the room with flowers.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,止める,とめる,to stop (something),verb,ichidan,transitive,,車を止めます。,くるまをとめます。,I stop the car.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,恥ずかしい,はずかしい,"ashamed, embarrassed",i-adjective,,,,恥ずかしいです。,はずかしいです。,I am embarrassed.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,いくら～ても,いくら～ても,however much one may ~,phrase,,,,いくら頑張っても、うまくいきません。,いくらがんばっても、うまくいきません。,"No matter how hard I try, it doesn't go well.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,用事,ようじ,business to take care of; tasks; errands,noun,,,,用事があります。,ようじがあります。,I have something to take care of.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ビル,ビル,(abbr.) building,noun,,,,高いビルがあります。,たかいビルがあります。,There is a tall building.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,けんかする,けんかする,quarrel,verb,irregular,intransitive,,友達とけんかしました。,ともだちとけんかしました。,I quarreled with my friend.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,頑張る,がんばる,"to try one's best, to try hard, to persist",verb,godan,intransitive,,頑張ってください。,がんばってください。,Please do your best.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,投げる,なげる,"to pitch, to cast away",verb,ichidan,transitive,,ボールを投げます。,ボールをなげます。,I throw the ball.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,故障,こしょうする,breakdown,noun,,,,車が故障しました。,くるまがこしょうしました。,The car broke down.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,力,ちから,"strength, power",noun,,,,力がありません。,ちからがありません。,I have no strength.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,受ける,うける,"to take (an examination, interview, etc.); to receive",verb,ichidan,transitive,,試験を受けます。,しけんをうけます。,I take an exam.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,気分,きぶん,"feeling, mood",noun,,,,今日は気分がいいです。,きょうはきぶんがいいです。,I feel good today.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,間違える,まちがえる,to make a mistake,verb,ichidan,transitive,,答えを間違えました。,こたえをまちがえました。,I got the answer wrong.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,そんな,そんな,"such, like that, that sort of",determiner,,,,そんな話は聞きたくないです。,そんなはなしはききたくないです。,I don't want to hear that kind of story.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,星,ほし,star,noun,,,,星がきれいです。,ほしがきれいです。,The stars are beautiful.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,場合,ばあい,"case, situation",noun,,,,その場合はどうしますか。,そのばあいはどうしますか。,What will you do in that case?,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,やっと,やっと,"at last, finally",adverb,,,,やっと終わりました。,やっとおわりました。,It finally ended.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,足りる,たりる,to be sufficient; to be enough,verb,ichidan,intransitive,,お金が足りません。,おかねがたりません。,I don't have enough money.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,行う,おこなう,to carry out; to conduct (typically used in written language),verb,godan,transitive,,試験を行います。,しけんをおこないます。,We will conduct the exam.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ぶどう,ぶどう,grapes,noun,,,,ぶどうを食べます。,ぶどうをたべます。,I eat grapes.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,無くなる,なくなる,"to disappear, to get lost",verb,godan,intransitive,,財布が無くなりました。,さいふがなくなりました。,My wallet disappeared.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,準備,じゅんびする,prepare,noun,,,,旅行の準備をします。,りょこうのじゅんびをします。,I prepare for the trip.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,世界,せかい,world,noun,,,,世界を旅行したいです。,せかいをりょこうしたいです。,I want to travel the world.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,住所,じゅうしょ,address; place of residence,noun,,,,住所を教えてください。,じゅうしょをおしえてください。,Please tell me your address.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,再来月,さらいげつ,the month after next,noun,,,,再来月、日本へ行きます。,さらいげつ、にほんへいきます。,I will go to Japan the month after next.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,林,はやし,"woods, forest",noun,,,,林の中を歩きます。,はやしのなかをあるきます。,I walk through the woods.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,倍,ばい,double,noun,,,,値段が二倍になりました。,ねだんがにばいになりました。,The price doubled.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,痩せる,やせる,to lose weight,verb,ichidan,intransitive,,最近、痩せました。,さいきん、やせました。,I have lost weight recently.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,線,せん,"line, wire",noun,,,,線を引きます。,せんをひきます。,I draw a line.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,戦争,せんそう,war,noun,,,,戦争が終わりました。,せんそうがおわりました。,The war ended.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,決める,きめる,to decide (v.t.),verb,ichidan,transitive,,予定を決めます。,よていをきめます。,I decide the schedule.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,調べる,しらべる,to check; to look up; to inquire; to search,verb,ichidan,transitive,,言葉の意味を調べます。,ことばのいみをしらべます。,I look up the meaning of a word.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,寝坊,ねぼう,sleeping in late,noun,,,,今朝、寝坊しました。,けさ、ねぼうしました。,I overslept this morning.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,パパ,パパ,"papa, daddy",noun,,,,パパ、ただいま。,パパ、ただいま。,"Papa, I'm home.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,光る,ひかる,"to shine, to glitter",verb,godan,intransitive,,星が光っています。,ほしがひかっています。,The stars are shining.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,夫,おっと,husband,noun,,,,夫は会社員です。,おっとはかいしゃいんです。,My husband is a company employee.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,雲,くも,cloud,noun,,,,空に雲があります。,そらにくもがあります。,There are clouds in the sky.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,坂,さか,"slope, hill",noun,,,,この坂は急です。,このさかはきゅうです。,This slope is steep.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～(て) しまう,～(て) しまう,to end up ~,phrase,,,,宿題を忘れてしまいました。,しゅくだいをわすれてしまいました。,I ended up forgetting my homework.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,飛行場,ひこうじょう,airport,noun,,,,飛行場へ行きます。,ひこうじょうへいきます。,I go to the airport.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,柔道,じゅうどう,judo,noun,,,,柔道を習っています。,じゅうどうをならっています。,I am learning judo.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,決して,けっして,never,adverb,,,,決して忘れません。,けっしてわすれません。,I will never forget.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,事務所,じむしょ,office,noun,,,,事務所で働いています。,じむしょではたらいています。,I work at the office.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,連絡,れんらく,"communication, contact, connection",noun,,,,後で連絡します。,あとでれんらくします。,I will contact you later.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,小学校,しょうがっこう,elementary school,noun,,,,小学校の先生です。,しょうがっこうのせんせいです。,I am an elementary school teacher.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,客,きゃく,"guest, customer",noun,,,,お客さんが来ました。,おきゃくさんがきました。,A guest has come.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,昔,むかし,old days; past,noun,,,,昔、ここに家がありました。,むかし、ここにいえがありました。,There used to be a house here in the past.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,美しい,うつくしい,"beautiful, lovely",i-adjective,,,,この景色は美しいです。,このけしきはうつくしいです。,This scenery is beautiful.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,捨てる,すてる,"throw away (trash), dump, discard",verb,ichidan,transitive,,ごみを捨てます。,ごみをすてます。,I throw away trash.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,なさる,なさる,-- honorific expression for する --,verb,godan,transitive,,先生が食事をなさいます。,せんせいがしょくじをなさいます。,The teacher eats.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,事,こと,"thing(s), matter(s), fact",noun,,,,大切な事を伝えます。,たいせつなことをつたえます。,I convey an important matter.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,どんどん,どんどん,quickly and steadily; at a rapid pace,adverb,,,,日本語がどんどん上手になります。,にほんごがどんどんじょうずになります。,My Japanese is improving rapidly.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,試合,しあい,"match, game, competition",noun,,,,明日、試合があります。,あした、しあいがあります。,There is a match tomorrow.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,適当,てきとう,"fitness, suitability",na-adjective,,,,適当な場所を選びます。,てきとうなばしょをえらびます。,I choose a suitable place.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,素晴らしい,すばらしい,wonderful; terrific,i-adjective,,,,素晴らしい景色です。,すばらしいけしきです。,It's a wonderful view.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,美術館,びじゅつかん,"art gallery, art museum",noun,,,,美術館へ行きます。,びじゅつかんへいきます。,I go to the art museum.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,文法,ぶんぽう,grammar,noun,,,,文法を勉強します。,ぶんぽうをべんきょうします。,I study grammar.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,終わり,おわり,end,noun,,,,これで終わりです。,これでおわりです。,This is the end.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,壁,かべ,wall,noun,,,,壁に絵を掛けます。,かべにえをかけます。,I hang a picture on the wall.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,一度,いちど,"once, one time",noun,,,,一度、日本へ行ったことがあります。,いちど、にほんへいったことがあります。,I have been to Japan once.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,noun,,,,お礼を言います。,おれいをいいます。,I say thank you.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,親切,しんせつ,kindness,na-adjective,,,,彼は親切です。,かれはしんせつです。,He is kind.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,知らせる,しらせる,to notify,verb,ichidan,transitive,,結果を知らせます。,けっかをしらせます。,I will let you know the result.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,歯医者,はいしゃ,dentist,noun,,,,歯医者へ行きます。,はいしゃへいきます。,I go to the dentist.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,熱心,ねっしん,enthusiasm,na-adjective,,,,彼は熱心に勉強します。,かれはねっしんにべんきょうします。,He studies enthusiastically.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,始める,はじめる,"to start, to begin",verb,ichidan,transitive,,仕事を始めます。,しごとをはじめます。,I start work.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,もらう,もらう,to receive,verb,godan,transitive,,プレゼントをもらいました。,プレゼントをもらいました。,I received a present.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,泣く,なく,to cry,verb,godan,intransitive,,赤ちゃんが泣いています。,あかちゃんがないています。,The baby is crying.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,治る,なおる,to get better; to recover from illness (v.i.),verb,godan,intransitive,,風邪が治りました。,かぜがなおりました。,My cold got better.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,熱,ねつ,"fever, temperature",noun,,,,熱があります。,ねつがあります。,I have a fever.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,お祭り,おまつり,festival,noun,,,,お祭りに行きます。,おまつりにいきます。,I go to the festival.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,水道,すいどう,"water service, water line",noun,,,,水道の水を飲みます。,すいどうのみずをのみます。,I drink tap water.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,匂い,におい,"odor, smell",noun,,,,いい匂いがします。,いいにおいがします。,It smells good.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ベル,ベル,bell,noun,,,,ベルが鳴りました。,ベルがなりました。,The bell rang.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,赤ん坊,あかんぼう,baby,noun,,,,赤ん坊が生まれました。,あかんぼうがうまれました。,The baby was born.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,おかしい,おかしい,strange; odd; funny,i-adjective,,,,この話はおかしいです。,このはなしはおかしいです。,This story is strange.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,事故,じこ,accident,noun,,,,事故がありました。,じこがありました。,There was an accident.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,変,へん,"strange, odd",na-adjective,,,,この音は変です。,このおとはへんです。,This sound is strange.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,辞典,じてん,"encyclopedia, reference book",noun,,,,辞典で調べます。,じてんでしらべます。,I look it up in a reference book.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,残る,のこる,"to remain (v.i.), to be left",verb,godan,intransitive,,料理が残りました。,りょうりがのこりました。,Some food was left over.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,立てる,たてる,"to stand (something) up, to erect (something)",verb,ichidan,transitive,,旗を立てます。,はたをたてます。,I put up a flag.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,くれる,くれる,"to give, to do for",verb,ichidan,transitive,,友達がプレゼントをくれました。,ともだちがプレゼントをくれました。,My friend gave me a present.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～員,～いん,member of ~,suffix,,,,会社員です。,かいしゃいんです。,I am a company employee.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,原因,げんいん,"cause, origin, source",noun,,,,事故の原因を調べます。,じこのげんいんをしらべます。,I investigate the cause of the accident.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,驚く,おどろく,"to be surprised, to be astonished",verb,godan,intransitive,,そのニュースに驚きました。,そのニュースにおどろきました。,I was surprised by that news.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,verb,godan,transitive,,お茶をいただきます。,おちゃをいただきます。,I will have some tea.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,祖母,そぼ,grandmother,noun,,,,祖母は元気です。,そぼはげんきです。,My grandmother is well.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,場所,ばしょ,"place, location",noun,,,,会議の場所はどこですか。,かいぎのばしょはどこですか。,Where is the meeting place?,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,答,こたえ,"answer, response",noun,,,,答えを教えてください。,こたえをおしえてください。,Please tell me the answer.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,もちろん,もちろん,"certainly, of course",adverb,,,,もちろん、行きます。,もちろん、いきます。,"Of course, I will go.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,漬ける,つける,"to soak, to moisten, to pickle",verb,ichidan,transitive,,野菜を漬けます。,やさいをつけます。,I pickle vegetables.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,受付,うけつけ,reception(ist) desk,noun,,,,受付で聞いてください。,うけつけできいてください。,Please ask at the reception desk.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,内,うち,"within, inside",noun,,,,家族の内で一番若いです。,かぞくのうちでいちばんわかいです。,I am the youngest within my family.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,スクリーン,スクリーン,screen,noun,,,,スクリーンに映画が映っています。,スクリーンにえいががうつっています。,A movie is showing on the screen.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,増える,ふえる,"to increase, to multiply",verb,ichidan,intransitive,,人口が増えました。,じんこうがふえました。,The population increased.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,または,または,"or, otherwise",conjunction,,,,バスまたは電車で行きます。,バスまたはでんしゃでいきます。,I go by bus or train.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
