type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N4,grammar,quotation,〜と言いました,といいました,"Reported speech, ""said that...""","The quoted clause keeps its own original tense and plain form regardless of when the reporting sentence is set, and と can quote either direct speech or, more commonly at this level, indirect/reported speech without a direct quote.",Sentence (plain) + と言いました,田中さんは明日来ると言いました。,たなかさんはあしたくるといいました。,Mr. Tanaka said he would come tomorrow.,明日;さん;来る,田;中;明;日;来,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The quoted clause stays in plain form.
grammar,N4,grammar,quotation,〜と思います,とおもいます,"""I think that...""","と思います softens an opinion or prediction, the standard, humble way Japanese speakers state their own views rather than asserting flat fact — omitting it entirely can sound unnecessarily blunt or overconfident in many everyday contexts.",Sentence (plain) + と思います,明日は雨だと思います。,あしたはあめだとおもいます。,I think it will rain tomorrow.,明日,明;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softer and more common than a direct assertion.
grammar,N4,grammar,quotation,〜という,という,"""Called, named""","という bridges an unfamiliar name, term, or quote to the noun it names, especially useful for introducing something the listener likely hasn't heard of yet (「げんき」という本) — without という, placing two nouns together wouldn't convey the ""called/named"" relationship.",Noun + という + Noun,「げんき」という本を使っています。,「げんき」というほんをつかっています。,"I'm using a book called ""Genki.""",,使,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Useful for introducing unfamiliar names or terms.
grammar,N4,grammar,purpose-reason,〜ために,ために,"""In order to, for the purpose of""","ために requires the subject of both clauses to be the same willing agent pursuing a deliberate goal, and the preceding verb must be a volitional action the subject actively controls — the key test that separates it from ように below, used when that control is absent.",Verb (dictionary form)／Noun+の + ために,日本語を勉強するために、日本に来ました。,にほんごをべんきょうするために、にほんにきました。,I came to Japan in order to study Japanese.,勉強;する,日;語;勉;来,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The subject of both clauses is usually the same person.
grammar,N4,grammar,purpose-reason,〜ので,ので,"""Because"" (softer, more objective reason)","ので presents a reason as an objective, almost self-evident fact rather than a personal justification, sounding noticeably more polite and less confrontational than から — often preferred when declining an invitation or explaining an inconvenience to someone you don't know well.",Plain form + ので,疲れたので、休みます。,つかれたので、やすみます。,"Because I'm tired, I'll rest.",休み,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Sounds more polite/formal than から。
grammar,N4,grammar,purpose-reason,〜し,し,"Lists reasons or qualities, ""and also""","し doesn't just state one reason — it implies additional, unstated reasons supporting the same conclusion, giving statements a slightly more persuasive, ""and on top of that"" feel compared to a single ので or から。",Plain form + し (often repeated),この店は安いし、おいしいです。,このみせはやすいし、おいしいです。,"This shop is cheap, and it's also delicious.",この;安い,安,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Implies there are even more reasons than stated.
grammar,N4,grammar,purpose-reason,〜のに,のに,"""Although, despite"" (unexpected/regrettable result)","のに always carries an emotional charge of surprise, frustration, or unmet expectation about the gap between the two clauses, setting it apart from the neutral factual contrast of けど/が — 頑張ったのに失敗した implies the speaker feels it's unfair.",Plain form + のに,頑張ったのに、失敗しました。,がんばったのに、しっぱいしました。,"Despite trying hard, I failed.",失敗,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Carries a nuance of surprise or disappointment.
grammar,N4,grammar,purpose-reason,〜ように（目的）,ように,"""So that"" (purpose, with non-volitional verbs)","This ように is used precisely when the verb describes something outside the subject's direct volitional control (potential forms, non-volitional verbs like 忘れる、わかる、できる) — where ために needs an active chosen goal, ように expresses a hoped-for outcome only indirectly influenced.","Verb (potential/dictionary, non-volitional) + ように",忘れないように、メモします。,わすれないように、めもします。,I'll take notes so that I don't forget.,ない,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Used when the verb isn't under direct control, unlike ために。"
grammar,N4,grammar,manner,〜方（かた）,かた,"""How to do"", nominalized method","This turns any verb's stem into ""the way of doing X"" and is extremely productive — nearly any action verb can form a 方 noun this way (食べ方、話し方、使い方), making it one of the most versatile N4 patterns for building new vocabulary on the fly.",Verb stem + 方,この漢字の読み方が分かりません。,このかんじのよみかたがわかりません。,I don't know how to read this kanji.,この;漢字,漢;分,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Very productive: 使い方、作り方、行き方, etc."
grammar,N4,grammar,manner,〜まま,まま,"""As is,"" staying in the same state","まま emphasizes that a state was left unchanged, often against expectation or without the usual accompanying action — 靴を履いたまま部屋に入る draws attention to the (often impolite, in Japan) fact of not removing shoes as one normally would.",Verb た form／Noun+の + まま,靴を履いたまま、部屋に入りました。,くつをはいたまま、へやにはいりました。,I entered the room with my shoes still on.,まま;部屋,部;屋,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes that a state continues unchanged.
grammar,N4,grammar,verb-aspect,〜始める,はじめる,"""Begin doing""","This attaches to the verb stem and conjugates like any regular ichidan verb once attached, describing the onset of an action rather than the action's ongoing existence.",Verb stem + 始める,雨が降り始めました。,あめがふりはじめました。,It has started to rain.,始め,始,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Focuses on the beginning point of an action.
grammar,N4,grammar,verb-aspect,〜終わる,おわる,"""Finish doing""","The mirror image of 始める, marking completion — for verbs describing a state rather than a discrete completable action, 終わる may sound unnatural, so it's most common with clearly bounded activities like eating, writing, or reading.",Verb stem + 終わる,宿題をし終わりました。,しゅくだいをしおわりました。,I finished doing my homework.,終わり;宿題,宿;題;終,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Focuses on the completion point of an action.
grammar,N4,grammar,verb-aspect,〜続ける,つづける,"""Continue doing""","続ける emphasizes an unbroken continuity over time, often paired with duration expressions (十年間、ずっと) to highlight persistence or dedication.",Verb stem + 続ける,十年間、日本語を勉強し続けています。,じゅうねんかん、にほんごをべんきょうしつづけています。,I have continued studying Japanese for ten years.,勉強,十;年;間;日;語;勉,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes ongoing duration.
grammar,N4,grammar,verb-aspect,〜出す,だす,"""Suddenly start doing""","出す specifically frames the onset as sudden or unexpected, distinguishing it from the more neutral 始める — 泣き出す implies the crying started abruptly, without warning, which 泣き始める wouldn't necessarily convey.",Verb stem + 出す,赤ちゃんが急に泣き出しました。,あかちゃんがきゅうになきだしました。,The baby suddenly started crying.,赤ちゃん;ちゃん,急,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Implies a sudden, often unexpected, onset."
grammar,N4,grammar,requests-advanced,〜てくれませんか,てくれませんか,"""Won't you do (for me)?"" polite request","Phrasing the request in the negative-question form of くれる (""won't you do this favor for me?"") softens it considerably compared to a plain てください, a natural everyday level of politeness among peers or slight acquaintances.",Verb て form + くれませんか,手伝ってくれませんか。,てつだってくれませんか。,Won't you help me?,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More polite than plain てください。
grammar,N4,grammar,requests-advanced,〜ていただけませんか,ていただけませんか,"""Could you possibly do (for me)?"" very polite request","いただく is the humble form of もらう, so this request literally asks ""could I possibly receive the favor of you doing X?"" — one of the most polite common request forms in everyday Japanese, appropriate for strangers, customers, or superiors.",Verb て form + いただけませんか,もう一度説明していただけませんか。,もういちどせつめいしていただけませんか。,Could you possibly explain once more?,説明;だけ;もう;一度,一;度;明,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Very formal; common in business or with strangers.
grammar,N4,grammar,requests-advanced,お＋動詞stem＋ください,お＋どうし stem＋ください,Honorific request form,"This honorific request pattern is common in customer service, announcements, and formal writing (お待ちください) — it can't be used with する-verbs or certain irregular verbs, which have their own separate honorific request forms.",お + Verb stem + ください,どうぞお座りください。,どうぞおすわりください。,Please have a seat.,どうぞ;どう,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More formal than plain てください; common in service settings.
grammar,N4,grammar,honorific,れる・られる（尊敬）,れる・られる,Respectful passive-form used to show respect for someone's action,"The same conjugation used for the passive voice doubles as a milder, easier-to-produce honorific for someone else's actions — less formal than お+stem+になる or the special honorific verbs, a practical middle ground for everyday polite speech.",Verb passive form,社長は何時に来られますか。,しゃちょうはなんじにこられますか。,What time will the president arrive?,社長,社;何;時;来,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Simpler but less formal than special honorific verbs.
grammar,N4,grammar,honorific,お＋動詞stem＋になる,お＋どうし stem＋になる,Honorific pattern for someone else's action,"This is more clearly and consistently honorific than れる/られる, since れる/られる can be ambiguous with the passive or potential forms depending on context — お+stem+になる is unambiguously respectful.",お + Verb stem + になる,先生は本をお読みになります。,せんせいはほんをおよみになります。,The teacher reads a book.,先生,先;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More formal than the れる/られる honorific.
grammar,N4,grammar,honorific,〜させていただきます,させていただきます,"Humble request-permission, ""allow me to do""","This humbly frames an action as something the speaker does only with the (assumed) permission of the listener, even without explicit permission granted — extremely common in Japanese workplace/service language to politely announce one's own actions.",Verb causative stem + ていただきます,今日は早く帰らせていただきます。,きょうははやくかえらせていただきます。,Please allow me to go home early today.,今日,今;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Very polite; common in workplace Japanese.
grammar,N4,grammar,particles-advanced,〜について,について,"""About, concerning""","について marks the topic being discussed, written about, or considered, and is more specific/formal than simply using は for a general topic — especially common in essay titles, presentations, and formal writing (〜について書きなさい)。",Noun + について,日本の文化について話します。,にほんのぶんかについてはなします。,I'll talk about Japanese culture.,文化,日;化;話,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Often precedes verbs like 話す、書く、考える。
grammar,N4,grammar,particles-advanced,〜として,として,"""As, in the capacity of""","として marks a role, capacity, or category someone/something occupies, distinct from identity itself — 彼は先生として働いています says he works in the role of a teacher, without claiming ""teacher"" defines his whole identity.",Noun + として,彼は先生として働いています。,かれはせんせいとしてはたらいています。,He works as a teacher.,先生,先;生;働,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Marks a role or capacity, not identity."
grammar,N4,grammar,particles-advanced,〜によって,によって,"""Depending on"" / ""by means of""","によって has two related uses: showing that something varies depending on a factor (人によって違います) and marking the agent of a passive action in more formal/written Japanese (この本は夏目漱石によって書かれた) — the second, literary use is worth recognizing even if less often produced.",Noun + によって,人によって考え方が違います。,ひとによってかんがえかたがちがいます。,Ways of thinking differ depending on the person.,,人,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used for the agent in passive sentences: 〜によって作られた。
grammar,N4,grammar,particles-advanced,〜に対して,にたいして,"""Towards, in contrast to""","に対して marks the target or recipient of an attitude, action, or comparison, often implying a contrast or directed relationship — frequently seen in comparisons like AがBに対して〜 (A, in contrast to B, is ~)。",Noun + に対して,彼は子供に対して優しいです。,かれはこどもにたいしてやさしいです。,He is kind towards children.,優しい;子供,子;対,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Marks the target of an attitude or action.
grammar,N4,grammar,particles-advanced,〜にとって,にとって,"""For (someone)"", from someone's perspective","にとって frames a judgment as true specifically from a particular person's standpoint, which is why it pairs naturally with adjectives of importance or difficulty (大切、難しい) — it marks perspective, not a direct grammatical object.",Noun + にとって,私にとって家族が一番大切です。,わたしにとってかぞくがいちばんたいせつです。,"For me, family is the most important.",一番;大切;家族,私;族;一;大,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Marks the standpoint from which a judgment is made.
grammar,N4,grammar,particles-advanced,さえ,さえ,"""Even"" (emphasis, often an extreme example)","さえ singles out an extreme, least-likely example to make a point about everything else by implication — 子供さえ分かります implies that if even a child understands it, surely everyone else does too, a rhetorically strong form of emphasis.",Noun + さえ,子供さえ分かります。,こどもさえわかります。,Even a child understands this.,子供,子;分,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes that the given example is the least likely to qualify.
grammar,N4,grammar,nominalization,こと,こと,"Nominalizer: turns a verb phrase into ""the act/fact of ~ing""","こと turns an entire verb phrase into an abstract noun referring to the act or fact of doing something, required after certain predicates like 趣味は〜こと、〜ことができる、〜ことがある — の can substitute in some but not all of these contexts.",Verb (plain form) + こと,私の趣味は本を読むことです。,わたしのしゅみはほんをよむことです。,My hobby is reading books.,趣味;読む,私;味,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Common after が好き／が得意／ができる。
grammar,N4,grammar,nominalization,〜さ,さ,"Turns an い-adjective into a noun, ""-ness""","さ converts a quality (面白い, interesting) into a measurable, abstract noun (面白さ) — especially useful for asking about or comparing degrees, as in 高さ (height) or 長さ (length), turning subjective adjectives into something quantifiable.",い-Adj stem + さ,この山の高さはどのくらいですか。,このやまのたかさはどのくらいですか。,How high is this mountain?,くらい;この;どの,山,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Makes the adjective measurable/quantifiable.
grammar,N4,grammar,connectors-advanced,それで,それで,"""So, therefore"" (result)","それで states a natural, often unplanned result or consequence following from what was just said, with a slightly more narrative, ""and so"" feel than the more logical/formal だから。",Sentence。+ それで、Sentence。,電車が遅れました。それで、遅刻しました。,でんしゃがおくれました。それで、ちこくしました。,"The train was late. So, I was late.",それで;それ;電車,電;車,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,States a cause-and-effect relationship between two sentences.
grammar,N4,grammar,connectors-advanced,けれど（も）,けれども,"""Although, but"" (more formal than でも/が)","けれど(も) functions just like が/でも but sits at a slightly more formal/literary register, common in writing, speeches, or careful speech — が remains the more neutral, everyday default for the same contrastive meaning.",Clause + けれど（も）、Clause,頑張りましたけれども、負けました。,がんばりましたけれども、まけました。,"I tried hard, but I lost.",けれども;けれど,負,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Slightly more formal/literary than が。
grammar,N4,grammar,connectors-advanced,たとえ〜ても,たとえ〜ても,"""Even if"" (emphatic concession)","Adding たとえ before a ても-conditional emphasizes the extremeness or unlikeliness of the hypothetical being conceded, similar to English ""even if [something this extreme] happens"" — an intensifier for ても, not a separate structure on its own.",たとえ + Verb て form + も,たとえ雨が降っても、行きます。,たとえあめがふっても、いきます。,"Even if it rains, I'll go.",,行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,たとえ emphasizes the extremeness of the hypothetical.
grammar,N4,grammar,connectors-advanced,それに,それに,"""Moreover, in addition""","それに adds a second, reinforcing point in the same direction as the first (rather than contrasting, like でも), often used to pile on additional reasons or qualities, similar in feeling to English ""and what's more.""",Sentence。+ それに、Sentence。,この店は安いです。それに、おいしいです。,このみせはやすいです。それに、おいしいです。,"This shop is cheap. Moreover, it's delicious.",それに;それ;この;安い,安,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Adds a supporting point rather than a contrast.
grammar,N4,grammar,misc,〜てもかまいません,てもかまいません,"""It's fine even if..."" (permission, slightly formal)","This is functionally identical to てもいいです but carries a slightly more formal, considerate tone, often used in written notices or careful spoken contexts — かまいません literally means ""it doesn't matter/I don't mind.""",Verb て form + もかまいません,ここに座ってもかまいません。,ここにすわってもかまいません。,It's fine if you sit here.,ここ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,A more formal alternative to てもいいです。
grammar,N4,grammar,misc,〜ずに,ずに,"""Without doing"" (formal equivalent of ないで)","ずに is the more formal, literary equivalent of ないで, built irregularly from the negative stem (which is why する becomes せずに instead of the expected しずに) — in casual conversation, ないで remains far more common.",Verb ない form (drop ない) + ずに,朝ご飯を食べずに、学校へ行きました。,あさごはんをたべずに、がっこうへいきました。,I went to school without eating breakfast.,学校,食;学;校;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"する becomes せずに, an irregular change."
grammar,N4,grammar,misc,〜たばかり,たばかり,"""Just did""","ばかり emphasizes subjective recency — the action might technically have happened minutes or longer ago, but the speaker frames it as having ""just now"" occurred, often to explain why they're not ready to do something else yet.",Verb た form + ばかり,さっき昼ご飯を食べたばかりです。,さっきひるごはんをたべたばかりです。,I just ate lunch a moment ago.,さっき;ばかり,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes how recently the action was completed.
grammar,N4,grammar,misc,〜たところ,たところ,"""Just did, at the point of finishing""","ところ here marks the precise moment right at an action's completion, focusing more on the exact point in time than ばかり's sense of ""recency"" — the two often overlap in practice, but ところ leans toward pinpointing a moment.",Verb た form + ところ,ちょうど今、着いたところです。,ちょうどいま、ついたところです。,I've just arrived right now.,ころ,今;着,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Similar to たばかり but focuses on the exact moment.
grammar,N4,grammar,misc,〜るところ,るところ,"""About to do""","Using the dictionary form before ところ shifts the meaning entirely to ""about to,"" describing a moment right before an action begins rather than right after it ends — the verb form is what changes the entire meaning of this ところ family.",Verb (dictionary form) + ところ,これから出かけるところです。,これからでかけるところです。,I'm just about to go out.,これから;出かける;かける;これ;ころ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Marks a point right before an action begins.
grammar,N4,grammar,misc,〜ているところ,ているところ,"""In the middle of doing""","With the progressive て form before ところ, the focus shifts to being caught in the middle of an ongoing action right now — るところ／ているところ／たところ together form a complete ""about to / in the middle of / just finished"" system.",Verb て form + いるところ,今、宿題をしているところです。,いま、しゅくだいをしているところです。,I'm in the middle of doing homework right now.,宿題;ころ,今;宿;題,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes the action is ongoing at this exact moment.
grammar,N4,grammar,misc,〜おかげで,おかげで,"""Thanks to"" (positive cause)","おかげで attributes a positive outcome to someone or something's help or influence, often used with genuine gratitude, sometimes even ironically for a mixed blessing — it almost never introduces a negative outcome, which is what せいで is for instead.",Noun+の／Verb(plain) + おかげで,先生のおかげで、日本語が上手になりました。,せんせいのおかげで、にほんごがじょうずになりました。,"Thanks to my teacher, I became good at Japanese.",先生;上手,先;生;日;語;上,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Almost always used for a positive outcome.
grammar,N4,grammar,misc,〜せいで,せいで,"""Because of"" (negative cause, blame)","せいで is the direct negative counterpart of おかげで, assigning blame for an unwanted outcome — using せいで about your own actions can sound like avoiding responsibility, so it's often softened or avoided when the ""cause"" is the speaker themselves.",Noun+の／Verb(plain) + せいで,雨のせいで、試合が中止になりました。,あめのせいで、しあいがちゅうしになりました。,"Because of the rain, the game was cancelled.",試合,中,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Almost always used for a negative outcome; the opposite of おかげで。
grammar,N4,grammar,misc,〜わけではない,わけではない,"""It's not the case that..."" (partial denial)","This carefully denies a specific implication or assumption without a full, blunt denial — 嫌いなわけではない doesn't claim to like something, it just pushes back against the assumption of active dislike, useful for nuanced, softened disagreement.",Plain form + わけではない,嫌いなわけではないですが、あまり食べません。,きらいなわけではないですが、あまりたべません。,"It's not that I dislike it, but I don't eat it much.",では;嫌い;ない,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softly denies an assumption without a full negation.
grammar,N4,grammar,misc,〜わけがない,わけがない,"""There's no way that...""","This expresses the speaker's strong personal conviction that something is logically impossible or absolutely untrue, often with an incredulous or exasperated tone — stronger and more emotionally charged than a simple negative statement.",Plain form + わけがない,そんな話、本当なわけがない。,そんなはなし、ほんとうなわけがない。,There's no way that story is true.,そんな;ない;本当,話,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Expresses strong conviction that something is impossible.
grammar,N4,grammar,misc,〜に違いない,にちがいない,"""Must be"" (strong conviction)","に違いない expresses strong, confident conviction based on evidence or reasoning, similar in strength to わけがない but focused on asserting what must be true — it sits above でしょう and かもしれません on the confidence scale, just below stating plain fact.",Plain form + に違いない,あの人は先生に違いない。,あのひとはせんせいにちがいない。,That person must be a teacher.,先生;ない;あの,人;先;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Stronger and more confident than でしょう or はずだ。
grammar,N4,grammar,misc,〜がる,がる,Shows outward signs of a third person's feelings/desires,"がる converts a first-person feeling/desire word (たい、ほしい、嬉しい、いや) into a description of a third person's observed or inferred feelings, since Japanese grammar generally avoids directly asserting what's inside someone else's mind.",い-Adj stem／ほしい・いや stem + がる,妹は新しいゲームをほしがっています。,いもうとはあたらしいげーむをほしがっています。,My younger sister wants the new game.,新しい,妹,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Used for others; たい/ほしい directly are for the speaker.
grammar,N4,grammar,misc,〜てはどうですか,てはどうですか,"""How about doing"" (suggestion)","This suggestion pattern is built on ては (drawing attention to one option among possibilities) plus どうですか, giving it a slightly more formal, considered feel than the very common, casual たらどうですか below.",Verb て form + はどうですか,一度病院に行ってはどうですか。,いちどびょういんにいってはどうですか。,How about going to the hospital once?,病院;どう;一度,一;度;病;院;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Slightly more formal suggestion than たらどうですか。
grammar,N4,grammar,misc,〜たらどうですか,たらどうですか,"""What if you did"" (suggestion)","The most common, casual way to offer friendly advice in daily conversation — often shortened further in very casual speech to just たら? on its own, with どうですか dropped entirely.",Verb た form + らどうですか,少し休んだらどうですか。,すこしやすんだらどうですか。,Why don't you rest a little?,どう;少し,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"A common, friendly way to give advice."
